"id","age","age2","male","married","educ","hhsize","village","disability","employ","wage","ln_wage","age_before","age2_before"
305522,30,900,0,1,12,2,1,NA,NA,NA,NA,30,900
305531,18,324,0,0,12,3,1,NA,NA,NA,NA,18,324
307002,51,2601,0,0,0,2,1,NA,NA,NA,NA,51,2601
3080010,94,8836,0,0,NA,2,1,NA,NA,NA,NA,94,8836
308002,52,2704,0,0,6,2,1,NA,NA,NA,NA,52,2704
308006,27,729,1,1,9,2,1,NA,NA,NA,NA,27,729
308009,18,324,1,0,9,2,1,NA,NA,NA,NA,18,324
3090019,20,400,0,0,12,3,1,NA,NA,NA,NA,20,400
309002,63,3969,0,0,12,3,1,NA,NA,NA,NA,63,3969
309411,30,900,0,1,16,2,1,NA,NA,NA,NA,30,900
309412,32,1024,1,1,12,2,1,NA,NA,NA,NA,32,1024
309511,35,1225,1,1,12,2,1,NA,NA,NA,NA,35,1225
310002,69,4761,0,0,6,2,1,NA,NA,NA,NA,69,4761
310003,40,1600,0,0,12,2,1,NA,NA,NA,NA,40,1600
310411,43,1849,1,1,9,2,1,NA,NA,NA,NA,43,1849
310412,43,1849,0,1,0,2,1,NA,NA,NA,NA,43,1849
310413,19,361,1,0,9,2,1,NA,NA,NA,NA,19,361
310421,36,1296,1,1,12,2,1,NA,NA,NA,NA,36,1296
310422,35,1225,0,1,9,2,1,NA,NA,NA,NA,35,1225
311001,45,2025,1,1,6,2,1,NA,NA,NA,NA,45,2025
311002,48,2304,0,1,6,2,1,NA,NA,NA,NA,48,2304
311004,24,576,1,0,9,2,1,NA,NA,NA,NA,24,576
311005,18,324,0,0,9,2,1,NA,NA,NA,NA,18,324
311511,28,784,1,1,12,2,1,NA,NA,NA,NA,28,784
311512,26,676,0,1,12,2,1,NA,NA,NA,NA,26,676
312001,47,2209,1,1,12,2,1,NA,NA,NA,NA,47,2209
312002,50,2500,0,1,6,2,1,NA,NA,NA,NA,50,2500
312111,43,1849,1,1,12,3,1,NA,NA,NA,NA,43,1849
312112,33,1089,0,1,6,3,1,NA,NA,NA,NA,33,1089
312113,18,324,1,0,12,3,1,NA,NA,NA,NA,18,324
312114,16,256,0,0,12,3,1,NA,NA,NA,NA,16,256
312411,26,676,0,0,0,3,1,NA,NA,NA,NA,26,676
312421,24,576,1,0,16,2,1,NA,NA,NA,NA,24,576
313001,55,3025,1,1,6,2,1,NA,NA,NA,NA,55,3025
313002,47,2209,0,1,12,2,1,NA,NA,NA,NA,47,2209
313007,18,324,1,0,12,2,1,NA,NA,NA,NA,18,324
313413,28,784,1,1,9,4,1,NA,NA,NA,NA,28,784
313415,28,784,0,1,0,4,1,NA,NA,NA,NA,28,784
314002,68,4624,0,0,6,2,1,NA,NA,NA,NA,68,4624
314005,48,2304,1,1,9,2,1,NA,NA,NA,NA,48,2304
314006,47,2209,0,1,6,2,1,NA,NA,NA,NA,47,2209
314311,36,1296,1,1,12,3,1,NA,NA,NA,NA,36,1296
314312,33,1089,0,1,9,3,1,NA,NA,NA,NA,33,1089
315001,61,3721,0,0,6,3,1,NA,NA,NA,NA,61,3721
315002,37,1369,0,1,0,3,1,NA,NA,NA,NA,37,1369
315005,16,256,0,0,12,3,1,NA,NA,NA,NA,16,256
315009,40,1600,1,1,0,3,1,NA,NA,NA,NA,40,1600
315511,35,1225,1,1,0,3,1,NA,NA,NA,NA,35,1225
315512,28,784,0,1,0,3,1,NA,NA,NA,NA,28,784
317001,60,3600,0,0,9,2,1,NA,NA,NA,NA,60,3600
317311,39,1521,1,1,12,3,1,NA,NA,NA,NA,39,1521
317312,38,1444,0,1,12,3,1,NA,NA,NA,NA,38,1444
317314,16,256,1,0,9,3,1,NA,NA,NA,NA,16,256
317411,38,1444,1,1,12,2,1,NA,NA,NA,NA,38,1444
317412,36,1296,0,1,12,2,1,NA,NA,NA,NA,36,1296
317511,42,1764,0,0,0,2,1,NA,NA,NA,NA,42,1764
317521,23,529,1,1,16,4,1,NA,NA,NA,NA,23,529
317522,19,361,0,1,12,4,1,NA,NA,NA,NA,19,361
318002,61,3721,0,0,0,2,1,NA,NA,NA,NA,61,3721
318007,23,529,1,0,0,2,1,NA,NA,NA,NA,23,529
318312,30,900,1,1,12,3,1,NA,NA,NA,NA,30,900
318314,28,784,0,1,16,3,1,NA,NA,NA,NA,28,784
318411,38,1444,1,1,16,3,1,NA,NA,NA,NA,38,1444
318412,32,1024,0,1,16,3,1,NA,NA,NA,NA,32,1024
318421,28,784,0,1,0,3,1,NA,NA,NA,NA,28,784
318422,33,1089,1,1,16,3,1,NA,NA,NA,NA,33,1089
318511,29,841,1,1,12,2,1,NA,NA,NA,NA,29,841
318512,29,841,0,1,16,2,1,NA,NA,NA,NA,29,841
319001,62,3844,1,1,0,2,1,NA,NA,NA,NA,62,3844
319002,58,3364,0,1,0,2,1,NA,NA,NA,NA,58,3364
319111,42,1764,1,1,0,3,1,NA,NA,NA,NA,42,1764
319112,35,1225,0,1,0,3,1,NA,NA,NA,NA,35,1225
319311,36,1296,1,1,12,2,1,NA,NA,NA,NA,36,1296
319312,45,2025,0,1,16,2,1,NA,NA,NA,NA,45,2025
319411,32,1024,1,1,12,3,1,NA,NA,NA,NA,32,1024
319412,30,900,0,1,12,3,1,NA,NA,NA,NA,30,900
3200010,17,289,1,0,0,2,1,NA,NA,NA,NA,17,289
320005,56,3136,1,0,16,2,1,NA,NA,NA,NA,56,3136
320007,26,676,0,0,16,2,1,NA,NA,NA,NA,26,676
320312,43,1849,0,1,12,2,1,NA,NA,NA,NA,43,1849
320313,17,289,0,0,12,2,1,NA,NA,NA,NA,17,289
320314,17,289,1,0,12,2,1,NA,NA,NA,NA,17,289
320315,44,1936,1,1,12,2,1,NA,NA,NA,NA,44,1936
320511,35,1225,1,1,16,2,1,NA,NA,NA,NA,35,1225
320512,34,1156,0,1,NA,2,1,NA,NA,NA,NA,34,1156
3240010,22,484,0,0,16,3,1,NA,NA,NA,NA,22,484
3240011,19,361,1,0,12,3,1,NA,NA,NA,NA,19,361
324007,47,2209,1,1,12,3,1,NA,NA,NA,NA,47,2209
324008,42,1764,0,1,12,3,1,NA,NA,NA,NA,42,1764
324009,24,576,1,0,12,3,1,NA,NA,NA,NA,24,576
324311,49,2401,1,1,12,3,1,NA,NA,NA,NA,49,2401
324312,40,1600,0,1,12,3,1,NA,NA,NA,NA,40,1600
324313,16,256,0,0,0,3,1,NA,NA,NA,NA,16,256
324321,43,1849,0,1,0,2,1,NA,NA,NA,NA,43,1849
324325,19,361,1,0,12,2,1,NA,NA,NA,NA,19,361
324327,39,1521,1,1,6,2,1,NA,NA,NA,NA,39,1521
324411,39,1521,1,1,12,3,1,NA,NA,NA,NA,39,1521
324412,33,1089,0,1,16,3,1,NA,NA,NA,NA,33,1089
324541,21,441,1,1,12,2,1,NA,NA,NA,NA,21,441
324542,17,289,0,1,12,2,1,NA,NA,NA,NA,17,289
325001,87,7569,0,0,0,3,1,NA,NA,NA,NA,87,7569
325004,46,2116,1,1,9,3,1,NA,NA,NA,NA,46,2116
325005,41,1681,0,1,0,3,1,NA,NA,NA,NA,41,1681
325007,21,441,0,0,12,3,1,NA,NA,NA,NA,21,441
325009,16,256,0,0,12,3,1,NA,NA,NA,NA,16,256
326001,59,3481,1,1,0,4,1,NA,NA,NA,NA,59,3481
326009,51,2601,0,1,16,4,1,NA,NA,NA,NA,51,2601
326411,31,961,1,1,12,3,1,NA,NA,NA,NA,31,961
326412,29,841,0,1,12,3,1,NA,NA,NA,NA,29,841
326511,29,841,1,1,16,2,1,NA,NA,NA,NA,29,841
326512,28,784,0,1,12,2,1,NA,NA,NA,NA,28,784
326521,26,676,0,1,16,2,1,NA,NA,NA,NA,26,676
326522,27,729,1,1,12,2,1,NA,NA,NA,NA,27,729
326531,25,625,1,0,12,2,1,NA,NA,NA,NA,25,625
326541,18,324,0,0,16,2,1,NA,NA,NA,NA,18,324
327001,56,3136,1,1,6,4,1,NA,NA,NA,NA,56,3136
327002,55,3025,0,1,9,4,1,NA,NA,NA,NA,55,3025
327003,21,441,1,1,12,4,1,NA,NA,NA,NA,21,441
327004,18,324,1,0,12,4,1,NA,NA,NA,NA,18,324
327006,22,484,0,1,12,4,1,NA,NA,NA,NA,22,484
328001,54,2916,1,1,9,2,1,NA,NA,NA,NA,54,2916
328002,48,2304,0,1,12,2,1,NA,NA,NA,NA,48,2304
328003,27,729,1,0,16,2,1,NA,NA,NA,NA,27,729
328005,24,576,1,0,12,2,1,NA,NA,NA,NA,24,576
329001,51,2601,1,1,6,2,1,NA,NA,NA,NA,51,2601
329002,47,2209,0,1,6,2,1,NA,NA,NA,NA,47,2209
329006,17,289,0,0,12,2,1,NA,NA,NA,NA,17,289
329415,27,729,1,1,12,3,1,NA,NA,NA,NA,27,729
329416,25,625,0,1,12,3,1,NA,NA,NA,NA,25,625
329418,21,441,1,0,16,3,1,NA,NA,NA,NA,21,441
330003,57,3249,0,0,6,3,1,NA,NA,NA,NA,57,3249
401002,47,2209,0,0,16,2,1,NA,NA,NA,NA,47,2209
401511,25,625,1,0,16,2,1,NA,NA,NA,NA,25,625
401521,19,361,1,0,16,2,1,NA,NA,NA,NA,19,361
402002,46,2116,0,0,6,2,1,NA,NA,NA,NA,46,2116
402009,21,441,1,0,9,2,1,NA,NA,NA,NA,21,441
402412,27,729,1,1,12,3,1,NA,NA,NA,NA,27,729
402414,28,784,0,1,12,3,1,NA,NA,NA,NA,28,784
402511,24,576,0,0,12,2,1,NA,NA,NA,NA,24,576
402521,33,1089,1,1,12,2,1,NA,NA,NA,NA,33,1089
402522,22,484,0,1,12,2,1,NA,NA,NA,NA,22,484
4030010,20,400,1,0,12,3,1,NA,NA,NA,NA,20,400
403003,41,1681,0,1,6,3,1,NA,NA,NA,NA,41,1681
403009,44,1936,1,1,6,3,1,NA,NA,NA,NA,44,1936
403215,24,576,1,1,12,3,NA,NA,NA,NA,NA,24,576
403219,23,529,0,1,NA,3,NA,NA,NA,NA,NA,23,529
403511,62,3844,1,1,6,2,1,NA,NA,NA,NA,62,3844
403512,51,2601,0,1,0,2,1,NA,NA,NA,NA,51,2601
403513,17,289,1,0,9,2,1,NA,NA,NA,NA,17,289
403521,18,324,1,0,12,2,1,NA,NA,NA,NA,18,324
4040011,35,1225,0,1,12,4,1,NA,NA,NA,NA,35,1225
404002,57,3249,0,0,6,4,1,NA,NA,NA,NA,57,3249
404003,33,1089,1,1,9,4,1,NA,NA,NA,NA,33,1089
404008,21,441,1,0,9,4,1,NA,NA,NA,NA,21,441
404511,27,729,0,1,NA,3,1,NA,NA,NA,NA,27,729
404512,29,841,1,1,12,3,1,NA,NA,NA,NA,29,841
405001,50,2500,1,1,16,2,1,NA,NA,NA,NA,50,2500
405002,45,2025,0,1,9,2,1,NA,NA,NA,NA,45,2025
405511,21,441,0,1,12,3,1,NA,NA,NA,NA,21,441
405512,28,784,1,1,12,3,1,NA,NA,NA,NA,28,784
405521,19,361,0,0,16,2,1,NA,NA,NA,NA,19,361
405531,17,289,1,0,12,2,1,NA,NA,NA,NA,17,289
406001,66,4356,1,1,6,3,1,NA,NA,NA,NA,66,4356
406002,64,4096,0,1,6,3,1,NA,NA,NA,NA,64,4096
406007,69,4761,1,0,6,3,1,NA,NA,NA,NA,69,4761
406511,34,1156,1,1,12,2,1,NA,NA,NA,NA,34,1156
406512,29,841,0,1,12,2,1,NA,NA,NA,NA,29,841
406521,31,961,1,1,12,2,1,NA,NA,NA,NA,31,961
406522,36,1296,0,1,12,2,1,NA,NA,NA,NA,36,1296
406531,29,841,1,1,0,2,1,NA,NA,NA,NA,29,841
406532,35,1225,0,1,0,2,1,NA,NA,NA,NA,35,1225
4070012,23,529,0,1,9,3,1,NA,NA,NA,NA,23,529
407007,34,1156,1,1,12,3,1,NA,NA,NA,NA,34,1156
407312,49,2401,0,1,12,3,1,NA,NA,NA,NA,49,2401
407313,28,784,0,1,9,3,1,NA,NA,NA,NA,28,784
407432,27,729,0,1,9,4,1,NA,NA,NA,NA,27,729
407437,52,2704,1,1,NA,4,1,NA,NA,NA,NA,52,2704
407511,39,1521,0,0,6,2,1,NA,NA,NA,NA,39,1521
409003,41,1681,0,0,12,3,1,NA,NA,NA,NA,41,1681
409007,41,1681,1,1,12,3,1,NA,NA,NA,NA,41,1681
409008,42,1764,0,1,9,3,1,NA,NA,NA,NA,42,1764
410001,64,4096,0,0,NA,2,1,NA,NA,NA,NA,64,4096
410009,24,576,1,0,12,2,1,NA,NA,NA,NA,24,576
410211,41,1681,1,1,12,2,NA,NA,NA,NA,NA,41,1681
410212,37,1369,0,1,6,2,NA,NA,NA,NA,NA,37,1369
410311,43,1849,1,1,6,2,1,NA,NA,NA,NA,43,1849
410312,41,1681,0,1,12,2,1,NA,NA,NA,NA,41,1681
410313,17,289,1,0,12,2,1,NA,NA,NA,NA,17,289
410314,15,225,1,0,12,2,1,NA,NA,NA,NA,15,225
410411,35,1225,1,1,12,3,1,NA,NA,NA,NA,35,1225
410412,32,1024,0,1,12,3,1,NA,NA,NA,NA,32,1024
410421,33,1089,1,1,9,2,1,NA,NA,NA,NA,33,1089
410422,31,961,0,1,9,2,1,NA,NA,NA,NA,31,961
410511,30,900,1,1,12,2,1,NA,NA,NA,NA,30,900
410512,25,625,0,1,9,2,1,NA,NA,NA,NA,25,625
410521,28,784,0,1,16,3,1,NA,NA,NA,NA,28,784
410522,37,1369,1,1,12,3,1,NA,NA,NA,NA,37,1369
410533,18,324,0,0,12,2,1,NA,NA,NA,NA,18,324
410551,16,256,0,0,12,3,NA,NA,NA,NA,NA,16,256
410552,18,324,0,0,NA,3,NA,NA,NA,NA,NA,18,324
411111,35,1225,1,1,12,3,1,NA,NA,NA,NA,35,1225
411113,32,1024,0,1,16,3,1,NA,NA,NA,NA,32,1024
413001,76,5776,1,1,9,3,1,NA,NA,NA,NA,76,5776
413002,75,5625,0,1,6,3,1,NA,NA,NA,NA,75,5625
413004,31,961,1,0,12,3,1,NA,NA,NA,NA,31,961
413007,15,225,1,0,9,3,1,NA,NA,NA,NA,15,225
413211,33,1089,1,1,12,3,NA,NA,NA,NA,NA,33,1089
413212,32,1024,0,1,16,3,NA,NA,NA,NA,NA,32,1024
413411,50,2500,1,1,6,3,1,NA,NA,NA,NA,50,2500
413412,36,1296,0,1,12,3,1,NA,NA,NA,NA,36,1296
413513,17,289,0,0,9,3,1,NA,NA,NA,NA,17,289
414001,61,3721,1,1,6,2,1,NA,NA,NA,NA,61,3721
414002,61,3721,0,1,9,2,1,NA,NA,NA,NA,61,3721
414411,33,1089,1,1,9,4,1,NA,NA,NA,NA,33,1089
414412,33,1089,0,1,12,4,1,NA,NA,NA,NA,33,1089
414511,30,900,1,1,12,3,1,NA,NA,NA,NA,30,900
414512,23,529,0,1,12,3,1,NA,NA,NA,NA,23,529
414521,27,729,1,1,12,2,1,NA,NA,NA,NA,27,729
414531,24,576,0,0,0,2,1,NA,NA,NA,NA,24,576
415003,46,2116,1,1,16,3,1,NA,NA,NA,NA,46,2116
415004,47,2209,0,1,16,3,1,NA,NA,NA,NA,47,2209
415511,20,400,0,0,NA,2,1,NA,NA,NA,NA,20,400
415521,16,256,0,0,12,2,1,NA,NA,NA,NA,16,256
416001,48,2304,1,1,0,2,1,NA,NA,NA,NA,48,2304
416002,50,2500,0,1,12,2,1,NA,NA,NA,NA,50,2500
416511,26,676,1,0,16,2,1,NA,NA,NA,NA,26,676
416521,25,625,0,0,0,2,1,NA,NA,NA,NA,25,625
416531,21,441,1,0,16,2,1,NA,NA,NA,NA,21,441
417004,73,5329,1,1,0,3,1,NA,NA,NA,NA,73,5329
417005,63,3969,0,1,12,3,1,NA,NA,NA,NA,63,3969
417006,40,1600,1,0,0,3,1,NA,NA,NA,NA,40,1600
417007,26,676,0,0,0,3,1,NA,NA,NA,NA,26,676
418001,51,2601,1,0,NA,2,1,NA,NA,NA,NA,51,2601
419411,29,841,1,1,12,2,1,NA,NA,NA,NA,29,841
419412,27,729,0,1,12,2,1,NA,NA,NA,NA,27,729
419414,59,3481,0,0,9,2,1,NA,NA,NA,NA,59,3481
420001,48,2304,1,1,12,2,1,NA,NA,NA,NA,48,2304
420002,45,2025,0,1,6,2,1,NA,NA,NA,NA,45,2025
420412,22,484,0,0,16,3,1,NA,NA,NA,NA,22,484
420413,22,484,1,0,0,3,1,NA,NA,NA,NA,22,484
422001,66,4356,1,0,12,2,1,NA,NA,NA,NA,66,4356
422004,33,1089,0,0,12,2,1,NA,NA,NA,NA,33,1089
422422,28,784,0,1,9,3,1,NA,NA,NA,NA,28,784
