"id","employ","wage","ln_wage","sec_agr","sec_min","sec_man","sec_ele","sec_con","sec_who","sec_tra","sec_fin","sec_soc","sec_other"
"18903511",1,6500000,15.6873127348659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18903512",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18906002",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18906006",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"189080014",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18908005",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18908009",1,1e+06,13.8155105579643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"189090011",1,1500000,14.2209756660724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"189090012",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18909004",1,2500000,14.7318012898384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18911001",1,1e+06,13.8155105579643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18911002",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18911003",1,1600000,14.28551418721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18911004",1,1500000,14.2209756660724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18911005",1,1300000,14.0778748224318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18912411",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18912412",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18912413",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"189130011",1,1100000,13.9108207377686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18913009",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18913111",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18913112",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18913113",1,1200000,13.9978321147582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18913114",1,150000,11.9183905730784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
